# x	Sen(x)	-Sen(x)
0.9812	0.8311	-0.8311
0.9937	0.8381	-0.8381
1.0063	0.8449	-0.8449
1.0189	0.8515	-0.8515
1.0315	0.8581	-0.8581
1.0441	0.8644	-0.8644
1.0566	0.8707	-0.8707
1.0692	0.8768	-0.8768
1.0818	0.8828	-0.8828
1.0944	0.8886	-0.8886
1.1069	0.8943	-0.8943
1.1195	0.8999	-0.8999
1.1321	0.9053	-0.9053
1.1447	0.9106	-0.9106
1.1573	0.9157	-0.9157
1.1698	0.9207	-0.9207
1.1824	0.9255	-0.9255
1.1950	0.9302	-0.9302
1.2076	0.9348	-0.9348
1.2202	0.9392	-0.9392
1.2327	0.9434	-0.9434
1.2453	0.9475	-0.9475
1.2579	0.9514	-0.9514
1.2705	0.9552	-0.9552
1.2831	0.9589	-0.9589
1.2956	0.9624	-0.9624
1.3082	0.9657	-0.9657
1.3208	0.9689	-0.9689
1.3334	0.9719	-0.9719
1.3459	0.9748	-0.9748
1.3585	0.9776	-0.9776
1.3711	0.9801	-0.9801
1.3837	0.9825	-0.9825
1.3963	0.9848	-0.9848
1.4088	0.9869	-0.9869
1.4214	0.9889	-0.9889
1.4340	0.9907	-0.9907
1.4466	0.9923	-0.9923
1.4592	0.9938	-0.9938
1.4717	0.9951	-0.9951
1.4843	0.9963	-0.9963
1.4969	0.9973	-0.9973
1.5095	0.9981	-0.9981
1.5221	0.9988	-0.9988
1.5346	0.9993	-0.9993
1.5472	0.9997	-0.9997
1.5598	0.9999	-0.9999
1.5724	1.0000	-1.0000
1.5849	0.9999	-0.9999
1.5975	0.9996	-0.9996
1.6101	0.9992	-0.9992
1.6227	0.9987	-0.9987
1.6353	0.9979	-0.9979
1.6478	0.9970	-0.9970
1.6604	0.9960	-0.9960
1.6730	0.9948	-0.9948
1.6856	0.9934	-0.9934
1.6982	0.9919	-0.9919
1.7107	0.9902	-0.9902
1.7233	0.9884	-0.9884
1.7359	0.9864	-0.9864
1.7485	0.9843	-0.9843
1.7611	0.9820	-0.9820
1.7736	0.9795	-0.9795
1.7862	0.9769	-0.9769
1.7988	0.9741	-0.9741
1.8114	0.9712	-0.9712
1.8239	0.9681	-0.9681
1.8365	0.9649	-0.9649
1.8491	0.9615	-0.9615
1.8617	0.9580	-0.9580
1.8743	0.9543	-0.9543
1.8868	0.9505	-0.9505
1.8994	0.9465	-0.9465
1.9120	0.9424	-0.9424
1.9246	0.9381	-0.9381
1.9372	0.9336	-0.9336
1.9497	0.9291	-0.9291
1.9623	0.9243	-0.9243
1.9749	0.9195	-0.9195
1.9875	0.9144	-0.9144
2.0001	0.9093	-0.9093
2.0126	0.9040	-0.9040
2.0252	0.8985	-0.8985
2.0378	0.8929	-0.8929
2.0504	0.8872	-0.8872
2.0629	0.8813	-0.8813
2.0755	0.8753	-0.8753
2.0881	0.8692	-0.8692
2.1007	0.8629	-0.8629
2.1133	0.8564	-0.8564
2.1258	0.8499	-0.8499
2.1384	0.8432	-0.8432
2.1510	0.8364	-0.8364
2.1636	0.8294	-0.8294
2.1762	0.8223	-0.8223
2.1887	0.8151	-0.8151
2.2013	0.8077	-0.8077
2.2139	0.8002	-0.8002
2.2265	0.7926	-0.7926
2.2391	0.7849	-0.7849
2.2516	0.7770	-0.7770
2.2642	0.7691	-0.7691
2.2768	0.7610	-0.7610
2.2894	0.7527	-0.7527
2.3019	0.7444	-0.7444
2.3145	0.7359	-0.7359
2.3271	0.7274	-0.7274
2.3397	0.7187	-0.7187
2.3523	0.7099	-0.7099
2.3648	0.7010	-0.7010
2.3774	0.6919	-0.6919
2.3900	0.6828	-0.6828
2.4026	0.6736	-0.6736
2.4152	0.6642	-0.6642
2.4277	0.6548	-0.6548
2.4403	0.6452	-0.6452
2.4529	0.6355	-0.6355
2.4655	0.6258	-0.6258
2.4781	0.6159	-0.6159
2.4906	0.6060	-0.6060
2.5032	0.5959	-0.5959
2.5158	0.5857	-0.5857
2.5284	0.5755	-0.5755
2.5409	0.5652	-0.5652
2.5535	0.5548	-0.5548
2.5661	0.5442	-0.5442
2.5787	0.5336	-0.5336
2.5913	0.5230	-0.5230
2.6038	0.5122	-0.5122
2.6164	0.5014	-0.5014
2.6290	0.4904	-0.4904
2.6416	0.4794	-0.4794
2.6542	0.4684	-0.4684
2.6667	0.4572	-0.4572
2.6793	0.4460	-0.4460
2.6919	0.4347	-0.4347
2.7045	0.4233	-0.4233
2.7171	0.4119	-0.4119
2.7296	0.4004	-0.4004
2.7422	0.3888	-0.3888
2.7548	0.3772	-0.3772
2.7674	0.3656	-0.3656
2.7799	0.3538	-0.3538
2.7925	0.3420	-0.3420
2.8051	0.3302	-0.3302
2.8177	0.3183	-0.3183
2.8303	0.3063	-0.3063
2.8428	0.2943	-0.2943
2.8554	0.2823	-0.2823
2.8680	0.2702	-0.2702
2.8806	0.2581	-0.2581
2.8932	0.2459	-0.2459
2.9057	0.2337	-0.2337
2.9183	0.2214	-0.2214
2.9309	0.2091	-0.2091
2.9435	0.1968	-0.1968
2.9561	0.1845	-0.1845
2.9686	0.1721	-0.1721
2.9812	0.1597	-0.1597
2.9938	0.1473	-0.1473
3.0064	0.1348	-0.1348
3.0189	0.1223	-0.1223
3.0315	0.1098	-0.1098
3.0441	0.0973	-0.0973
3.0567	0.0848	-0.0848
3.0693	0.0723	-0.0723
3.0818	0.0597	-0.0597
3.0944	0.0472	-0.0472
3.1070	0.0346	-0.0346
3.1196	0.0220	-0.0220
3.1322	0.0094	-0.0094
3.1447	-0.0031	0.0031
3.1573	-0.0157	0.0157
3.1699	-0.0283	0.0283
3.1825	-0.0409	0.0409
3.1951	-0.0534	0.0534
3.2076	-0.0660	0.0660
3.2202	-0.0785	0.0785
3.2328	-0.0911	0.0911
3.2454	-0.1036	0.1036
3.2579	-0.1161	0.1161
3.2705	-0.1286	0.1286
3.2831	-0.1410	0.1410
3.2957	-0.1535	0.1535
3.3083	-0.1659	0.1659
3.3208	-0.1783	0.1783
3.3334	-0.1907	0.1907
3.3460	-0.2030	0.2030
3.3586	-0.2153	0.2153
3.3712	-0.2276	0.2276
3.3837	-0.2398	0.2398
3.3963	-0.2520	0.2520
3.4089	-0.2641	0.2641
3.4215	-0.2762	0.2762
3.4341	-0.2883	0.2883
3.4466	-0.3003	0.3003
3.4592	-0.3123	0.3123
3.4718	-0.3242	0.3242
3.4844	-0.3361	0.3361
3.4969	-0.3479	0.3479
3.5095	-0.3597	0.3597
3.5221	-0.3714	0.3714
3.5347	-0.3830	0.3830
3.5473	-0.3946	0.3946
3.5598	-0.4062	0.4062
3.5724	-0.4176	0.4176
3.5850	-0.4290	0.4290
3.5976	-0.4403	0.4403
3.6102	-0.4516	0.4516
3.6227	-0.4628	0.4628
3.6353	-0.4739	0.4739
3.6479	-0.4849	0.4849
3.6605	-0.4959	0.4959
3.6731	-0.5068	0.5068
3.6856	-0.5176	0.5176
3.6982	-0.5283	0.5283
3.7108	-0.5390	0.5390
3.7234	-0.5495	0.5495
3.7359	-0.5600	0.5600
3.7485	-0.5704	0.5704
3.7611	-0.5806	0.5806
3.7737	-0.5908	0.5908
3.7863	-0.6009	0.6009
3.7988	-0.6109	0.6109
3.8114	-0.6209	0.6209
3.8240	-0.6307	0.6307
3.8366	-0.6404	0.6404
3.8492	-0.6500	0.6500
3.8617	-0.6595	0.6595
3.8743	-0.6689	0.6689
3.8869	-0.6782	0.6782
3.8995	-0.6874	0.6874
3.9121	-0.6965	0.6965
3.9246	-0.7054	0.7054
3.9372	-0.7143	0.7143
3.9498	-0.7230	0.7230
3.9624	-0.7317	0.7317
3.9749	-0.7402	0.7402
3.9875	-0.7486	0.7486
4.0001	-0.7569	0.7569
4.0127	-0.7650	0.7650
4.0253	-0.7731	0.7731
4.0378	-0.7810	0.7810
4.0504	-0.7888	0.7888
4.0630	-0.7965	0.7965
4.0756	-0.8040	0.8040
4.0882	-0.8114	0.8114
4.1007	-0.8187	0.8187
4.1133	-0.8259	0.8259
4.1259	-0.8329	0.8329
4.1385	-0.8398	0.8398
4.1511	-0.8465	0.8465
4.1636	-0.8532	0.8532
4.1762	-0.8597	0.8597
4.1888	-0.8660	0.8660
4.2014	-0.8722	0.8722
4.2139	-0.8783	0.8783
4.2265	-0.8843	0.8843
4.2391	-0.8901	0.8901
4.2517	-0.8957	0.8957
4.2643	-0.9013	0.9013
4.2768	-0.9066	0.9066
4.2894	-0.9119	0.9119
4.3020	-0.9170	0.9170
4.3146	-0.9219	0.9219
4.3272	-0.9267	0.9267
4.3397	-0.9314	0.9314
4.3523	-0.9359	0.9359
4.3649	-0.9402	0.9402
4.3775	-0.9444	0.9444
4.3901	-0.9485	0.9485
4.4026	-0.9524	0.9524
4.4152	-0.9562	0.9562
4.4278	-0.9598	0.9598
4.4404	-0.9632	0.9632
4.4529	-0.9665	0.9665
4.4655	-0.9697	0.9697
4.4781	-0.9727	0.9727
4.4907	-0.9755	0.9755
4.5033	-0.9782	0.9782
4.5158	-0.9807	0.9807
4.5284	-0.9831	0.9831
4.5410	-0.9853	0.9853
4.5536	-0.9874	0.9874
4.5662	-0.9893	0.9893
4.5787	-0.9911	0.9911
4.5913	-0.9927	0.9927
4.6039	-0.9941	0.9941
4.6165	-0.9954	0.9954
4.6291	-0.9965	0.9965
4.6416	-0.9975	0.9975
4.6542	-0.9983	0.9983
4.6668	-0.9990	0.9990
4.6794	-0.9995	0.9995
4.6919	-0.9998	0.9998
4.7045	-1.0000	1.0000
4.7171	-1.0000	1.0000
4.7297	-0.9999	0.9999
4.7423	-0.9996	0.9996
4.7548	-0.9991	0.9991
4.7674	-0.9985	0.9985
4.7800	-0.9977	0.9977
4.7926	-0.9968	0.9968
4.8052	-0.9957	0.9957
4.8177	-0.9945	0.9945
4.8303	-0.9931	0.9931
4.8429	-0.9915	0.9915
4.8555	-0.9898	0.9898
4.8681	-0.9879	0.9879
4.8806	-0.9859	0.9859
4.8932	-0.9837	0.9837
4.9058	-0.9814	0.9814
4.9184	-0.9789	0.9789
4.9309	-0.9762	0.9762
4.9435	-0.9734	0.9734
4.9561	-0.9704	0.9704
4.9687	-0.9673	0.9673
4.9813	-0.9641	0.9641
4.9938	-0.9607	0.9607
5.0064	-0.9571	0.9571
5.0190	-0.9534	0.9534
5.0316	-0.9495	0.9495
5.0442	-0.9455	0.9455
5.0567	-0.9413	0.9413
5.0693	-0.9370	0.9370
5.0819	-0.9325	0.9325
5.0945	-0.9279	0.9279
5.1071	-0.9231	0.9231
5.1196	-0.9182	0.9182
5.1322	-0.9132	0.9132
5.1448	-0.9080	0.9080
5.1574	-0.9026	0.9026
5.1699	-0.8971	0.8971
5.1825	-0.8915	0.8915
5.1951	-0.8857	0.8857
5.2077	-0.8798	0.8798
5.2203	-0.8738	0.8738
5.2328	-0.8676	0.8676
5.2454	-0.8613	0.8613
5.2580	-0.8548	0.8548
5.2706	-0.8482	0.8482
5.2832	-0.8415	0.8415
5.2957	-0.8346	0.8346
5.3083	-0.8276	0.8276
5.3209	-0.8205	0.8205
5.3335	-0.8132	0.8132
5.3461	-0.8059	0.8059
5.3586	-0.7984	0.7984
5.3712	-0.7907	0.7907
5.3838	-0.7830	0.7830
5.3964	-0.7751	0.7751
5.4089	-0.7671	0.7671
5.4215	-0.7589	0.7589
5.4341	-0.7507	0.7507
5.4467	-0.7423	0.7423
5.4593	-0.7338	0.7338
5.4718	-0.7252	0.7252
5.4844	-0.7165	0.7165
5.4970	-0.7077	0.7077
5.5096	-0.6987	0.6987
5.5222	-0.6897	0.6897
5.5347	-0.6805	0.6805
5.5473	-0.6712	0.6712
5.5599	-0.6619	0.6619
5.5725	-0.6524	0.6524
5.5851	-0.6428	0.6428
5.5976	-0.6331	0.6331
5.6102	-0.6233	0.6233
5.6228	-0.6134	0.6134
5.6354	-0.6034	0.6034
5.6479	-0.5934	0.5934
5.6605	-0.5832	0.5832
5.6731	-0.5729	0.5729
5.6857	-0.5626	0.5626
5.6983	-0.5521	0.5521
5.7108	-0.5416	0.5416
5.7234	-0.5310	0.5310
5.7360	-0.5203	0.5203
5.7486	-0.5095	0.5095
5.7612	-0.4986	0.4986
5.7737	-0.4877	0.4877
5.7863	-0.4767	0.4767
5.7989	-0.4656	0.4656
5.8115	-0.4544	0.4544
5.8241	-0.4432	0.4432
5.8366	-0.4319	0.4319
5.8492	-0.4205	0.4205
5.8618	-0.4090	0.4090
5.8744	-0.3975	0.3975
5.8869	-0.3859	0.3859
5.8995	-0.3743	0.3743
5.9121	-0.3626	0.3626
5.9247	-0.3509	0.3509
5.9373	-0.3391	0.3391
5.9498	-0.3272	0.3272
5.9624	-0.3153	0.3153
5.9750	-0.3033	0.3033
5.9876	-0.2913	0.2913
6.0002	-0.2793	0.2793
6.0127	-0.2672	0.2672
6.0253	-0.2550	0.2550
6.0379	-0.2428	0.2428
6.0505	-0.2306	0.2306
6.0631	-0.2184	0.2184
6.0756	-0.2061	0.2061
6.0882	-0.1937	0.1937
6.1008	-0.1814	0.1814
6.1134	-0.1690	0.1690
6.1259	-0.1566	0.1566
6.1385	-0.1442	0.1442
6.1511	-0.1317	0.1317
6.1637	-0.1192	0.1192
6.1763	-0.1067	0.1067
6.1888	-0.0942	0.0942
6.2014	-0.0817	0.0817
6.2140	-0.0691	0.0691
6.2266	-0.0566	0.0566
6.2392	-0.0440	0.0440
6.2517	-0.0314	0.0314
6.2643	-0.0189	0.0189
6.2769	-0.0063	0.0063
6.2895	0.0063	-0.0063
6.3021	0.0189	-0.0189
6.3146	0.0314	-0.0314
6.3272	0.0440	-0.0440
6.3398	0.0566	-0.0566
6.3524	0.0691	-0.0691
6.3649	0.0817	-0.0817
6.3775	0.0942	-0.0942
6.3901	0.1067	-0.1067
6.4027	0.1192	-0.1192
6.4153	0.1317	-0.1317
6.4278	0.1442	-0.1442
6.4404	0.1566	-0.1566
6.4530	0.1690	-0.1690
6.4656	0.1814	-0.1814
6.4782	0.1937	-0.1937
6.4907	0.2061	-0.2061
6.5033	0.2184	-0.2184
6.5159	0.2306	-0.2306
6.5285	0.2428	-0.2428
6.5411	0.2550	-0.2550
6.5536	0.2672	-0.2672
6.5662	0.2793	-0.2793
6.5788	0.2913	-0.2913
6.5914	0.3033	-0.3033
6.6039	0.3153	-0.3153
6.6165	0.3272	-0.3272
6.6291	0.3391	-0.3391
6.6417	0.3509	-0.3509
6.6543	0.3626	-0.3626
6.6668	0.3743	-0.3743
6.6794	0.3859	-0.3859
6.6920	0.3975	-0.3975
6.7046	0.4090	-0.4090
6.7172	0.4205	-0.4205
6.7297	0.4319	-0.4319
6.7423	0.4432	-0.4432
6.7549	0.4544	-0.4544
6.7675	0.4656	-0.4656
6.7801	0.4767	-0.4767
6.7926	0.4877	-0.4877
6.8052	0.4986	-0.4986
6.8178	0.5095	-0.5095
6.8304	0.5203	-0.5203
6.8429	0.5310	-0.5310
6.8555	0.5416	-0.5416
6.8681	0.5521	-0.5521
6.8807	0.5626	-0.5626
6.8933	0.5729	-0.5729
6.9058	0.5832	-0.5832
6.9184	0.5934	-0.5934
6.9310	0.6034	-0.6034
6.9436	0.6134	-0.6134
6.9562	0.6233	-0.6233
6.9687	0.6331	-0.6331
6.9813	0.6428	-0.6428
6.9939	0.6524	-0.6524
7.0065	0.6619	-0.6619
7.0191	0.6712	-0.6712
7.0316	0.6805	-0.6805
7.0442	0.6897	-0.6897
7.0568	0.6987	-0.6987
7.0694	0.7077	-0.7077
7.0819	0.7165	-0.7165
7.0945	0.7252	-0.7252
7.1071	0.7338	-0.7338
7.1197	0.7423	-0.7423
7.1323	0.7507	-0.7507
7.1448	0.7589	-0.7589
7.1574	0.7671	-0.7671
7.1700	0.7751	-0.7751
7.1826	0.7830	-0.7830
7.1952	0.7907	-0.7907
7.2077	0.7984	-0.7984
7.2203	0.8059	-0.8059
7.2329	0.8132	-0.8132
7.2455	0.8205	-0.8205
7.2581	0.8276	-0.8276
7.2706	0.8346	-0.8346
7.2832	0.8415	-0.8415
7.2958	0.8482	-0.8482
7.3084	0.8548	-0.8548
7.3209	0.8613	-0.8613
7.3335	0.8676	-0.8676
7.3461	0.8738	-0.8738
7.3587	0.8798	-0.8798
7.3713	0.8857	-0.8857
7.3838	0.8915	-0.8915
7.3964	0.8971	-0.8971
7.4090	0.9026	-0.9026
7.4216	0.9080	-0.9080
7.4342	0.9132	-0.9132
7.4467	0.9182	-0.9182
7.4593	0.9231	-0.9231
7.4719	0.9279	-0.9279
7.4845	0.9325	-0.9325
7.4971	0.9370	-0.9370
7.5096	0.9413	-0.9413
7.5222	0.9455	-0.9455
7.5348	0.9495	-0.9495
7.5474	0.9534	-0.9534
7.5599	0.9571	-0.9571
7.5725	0.9607	-0.9607
7.5851	0.9641	-0.9641
7.5977	0.9673	-0.9673
7.6103	0.9704	-0.9704
7.6228	0.9734	-0.9734
7.6354	0.9762	-0.9762
7.6480	0.9789	-0.9789
7.6606	0.9814	-0.9814
7.6732	0.9837	-0.9837
7.6857	0.9859	-0.9859
7.6983	0.9879	-0.9879
7.7109	0.9898	-0.9898
7.7235	0.9915	-0.9915
7.7361	0.9931	-0.9931
7.7486	0.9945	-0.9945
7.7612	0.9957	-0.9957
7.7738	0.9968	-0.9968
7.7864	0.9977	-0.9977
7.7989	0.9985	-0.9985
7.8115	0.9991	-0.9991
7.8241	0.9996	-0.9996
7.8367	0.9999	-0.9999
7.8493	1.0000	-1.0000
7.8618	1.0000	-1.0000
7.8744	0.9998	-0.9998
7.8870	0.9995	-0.9995
7.8996	0.9990	-0.9990
7.9122	0.9983	-0.9983
7.9247	0.9975	-0.9975
7.9373	0.9965	-0.9965
7.9499	0.9954	-0.9954
7.9625	0.9941	-0.9941
7.9751	0.9927	-0.9927
7.9876	0.9911	-0.9911
8.0002	0.9893	-0.9893
8.0128	0.9874	-0.9874
8.0254	0.9853	-0.9853
8.0379	0.9831	-0.9831
8.0505	0.9807	-0.9807
8.0631	0.9782	-0.9782
8.0757	0.9755	-0.9755
8.0883	0.9727	-0.9727
8.1008	0.9697	-0.9697
8.1134	0.9665	-0.9665
8.1260	0.9632	-0.9632
8.1386	0.9598	-0.9598
8.1512	0.9562	-0.9562
8.1637	0.9524	-0.9524
8.1763	0.9485	-0.9485
8.1889	0.9444	-0.9444
8.2015	0.9402	-0.9402
8.2141	0.9359	-0.9359
8.2266	0.9314	-0.9314
8.2392	0.9267	-0.9267
8.2518	0.9219	-0.9219
8.2644	0.9170	-0.9170
8.2769	0.9119	-0.9119
8.2895	0.9066	-0.9066
8.3021	0.9013	-0.9013
8.3147	0.8957	-0.8957
8.3273	0.8901	-0.8901
8.3398	0.8843	-0.8843
8.3524	0.8783	-0.8783
8.3650	0.8722	-0.8722
8.3776	0.8660	-0.8660
8.3902	0.8597	-0.8597
8.4027	0.8532	-0.8532
8.4153	0.8465	-0.8465
8.4279	0.8398	-0.8398
8.4405	0.8329	-0.8329
8.4531	0.8259	-0.8259
8.4656	0.8187	-0.8187
8.4782	0.8114	-0.8114
8.4908	0.8040	-0.8040
8.5034	0.7965	-0.7965
8.5159	0.7888	-0.7888
8.5285	0.7810	-0.7810
8.5411	0.7731	-0.7731
8.5537	0.7650	-0.7650
8.5663	0.7569	-0.7569
8.5788	0.7486	-0.7486
8.5914	0.7402	-0.7402
8.6040	0.7317	-0.7317
8.6166	0.7230	-0.7230
8.6292	0.7143	-0.7143
8.6417	0.7054	-0.7054
8.6543	0.6965	-0.6965
8.6669	0.6874	-0.6874
8.6795	0.6782	-0.6782
8.6921	0.6689	-0.6689
8.7046	0.6595	-0.6595
8.7172	0.6500	-0.6500
8.7298	0.6404	-0.6404
8.7424	0.6307	-0.6307
8.7549	0.6209	-0.6209
8.7675	0.6109	-0.6109
8.7801	0.6009	-0.6009
8.7927	0.5908	-0.5908
8.8053	0.5806	-0.5806
8.8178	0.5704	-0.5704
8.8304	0.5600	-0.5600
8.8430	0.5495	-0.5495
8.8556	0.5390	-0.5390
8.8682	0.5283	-0.5283
8.8807	0.5176	-0.5176
8.8933	0.5068	-0.5068
8.9059	0.4959	-0.4959
8.9185	0.4849	-0.4849
8.9311	0.4739	-0.4739
8.9436	0.4628	-0.4628
8.9562	0.4516	-0.4516
8.9688	0.4403	-0.4403
8.9814	0.4290	-0.4290
8.9939	0.4176	-0.4176
9.0065	0.4062	-0.4062
9.0191	0.3946	-0.3946
9.0317	0.3830	-0.3830
9.0443	0.3714	-0.3714
9.0568	0.3597	-0.3597
9.0694	0.3479	-0.3479
9.0820	0.3361	-0.3361
9.0946	0.3242	-0.3242
9.1072	0.3123	-0.3123
9.1197	0.3003	-0.3003
9.1323	0.2883	-0.2883
9.1449	0.2762	-0.2762
9.1575	0.2641	-0.2641
9.1701	0.2520	-0.2520
9.1826	0.2398	-0.2398
9.1952	0.2276	-0.2276
9.2078	0.2153	-0.2153
9.2204	0.2030	-0.2030
9.2329	0.1907	-0.1907
9.2455	0.1783	-0.1783
9.2581	0.1659	-0.1659
9.2707	0.1535	-0.1535
9.2833	0.1410	-0.1410
9.2958	0.1286	-0.1286
9.3084	0.1161	-0.1161
9.3210	0.1036	-0.1036
9.3336	0.0911	-0.0911
9.3462	0.0785	-0.0785
9.3587	0.0660	-0.0660
9.3713	0.0534	-0.0534
9.3839	0.0409	-0.0409
9.3965	0.0283	-0.0283
9.4091	0.0157	-0.0157
9.4216	0.0031	-0.0031
9.4342	-0.0094	0.0094
9.4468	-0.0220	0.0220
9.4594	-0.0346	0.0346
9.4719	-0.0472	0.0472
9.4845	-0.0597	0.0597
9.4971	-0.0723	0.0723
9.5097	-0.0848	0.0848
9.5223	-0.0973	0.0973
9.5348	-0.1098	0.1098
9.5474	-0.1223	0.1223
9.5600	-0.1348	0.1348
9.5726	-0.1473	0.1473
9.5852	-0.1597	0.1597
9.5977	-0.1721	0.1721
9.6103	-0.1845	0.1845
9.6229	-0.1968	0.1968
9.6355	-0.2091	0.2091
9.6481	-0.2214	0.2214
9.6606	-0.2337	0.2337
9.6732	-0.2459	0.2459
9.6858	-0.2581	0.2581
9.6984	-0.2702	0.2702
9.7109	-0.2823	0.2823
9.7235	-0.2943	0.2943
9.7361	-0.3063	0.3063
9.7487	-0.3183	0.3183
9.7613	-0.3302	0.3302
9.7738	-0.3420	0.3420
9.7864	-0.3538	0.3538
9.7990	-0.3656	0.3656
9.8116	-0.3772	0.3772
9.8242	-0.3888	0.3888
9.8367	-0.4004	0.4004
9.8493	-0.4119	0.4119
9.8619	-0.4233	0.4233
9.8745	-0.4347	0.4347
9.8871	-0.4460	0.4460
9.8996	-0.4572	0.4572
9.9122	-0.4684	0.4684
9.9248	-0.4794	0.4794
9.9374	-0.4904	0.4904
9.9499	-0.5014	0.5014
9.9625	-0.5122	0.5122
9.9751	-0.5230	0.5230
9.9877	-0.5336	0.5336
10.0003	-0.5442	0.5442
10.0128	-0.5548	0.5548
10.0254	-0.5652	0.5652
10.0380	-0.5755	0.5755
10.0506	-0.5857	0.5857
10.0632	-0.5959	0.5959
10.0757	-0.6060	0.6060
10.0883	-0.6159	0.6159
10.1009	-0.6258	0.6258
10.1135	-0.6355	0.6355
10.1261	-0.6452	0.6452
10.1386	-0.6548	0.6548
10.1512	-0.6642	0.6642
10.1638	-0.6736	0.6736
10.1764	-0.6828	0.6828
10.1889	-0.6919	0.6919
10.2015	-0.7010	0.7010
10.2141	-0.7099	0.7099
10.2267	-0.7187	0.7187
10.2393	-0.7274	0.7274
10.2518	-0.7359	0.7359
10.2644	-0.7444	0.7444
10.2770	-0.7527	0.7527
10.2896	-0.7610	0.7610
10.3022	-0.7691	0.7691
10.3147	-0.7770	0.7770
10.3273	-0.7849	0.7849
10.3399	-0.7926	0.7926
10.3525	-0.8002	0.8002
10.3651	-0.8077	0.8077
10.3776	-0.8151	0.8151
10.3902	-0.8223	0.8223
10.4028	-0.8294	0.8294
10.4154	-0.8364	0.8364
10.4279	-0.8432	0.8432
10.4405	-0.8499	0.8499
10.4531	-0.8564	0.8564
10.4657	-0.8629	0.8629
10.4783	-0.8692	0.8692
10.4908	-0.8753	0.8753
10.5034	-0.8813	0.8813
10.5160	-0.8872	0.8872
10.5286	-0.8929	0.8929
10.5412	-0.8985	0.8985
10.5537	-0.9040	0.9040
10.5663	-0.9093	0.9093
10.5789	-0.9144	0.9144
10.5915	-0.9195	0.9195
10.6041	-0.9243	0.9243
10.6166	-0.9291	0.9291
10.6292	-0.9336	0.9336
10.6418	-0.9381	0.9381
10.6544	-0.9424	0.9424
10.6669	-0.9465	0.9465
10.6795	-0.9505	0.9505
10.6921	-0.9543	0.9543
10.7047	-0.9580	0.9580
10.7173	-0.9615	0.9615
10.7298	-0.9649	0.9649
10.7424	-0.9681	0.9681
10.7550	-0.9712	0.9712
10.7676	-0.9741	0.9741
10.7802	-0.9769	0.9769
10.7927	-0.9795	0.9795
10.8053	-0.9820	0.9820
10.8179	-0.9843	0.9843
10.8305	-0.9864	0.9864
10.8431	-0.9884	0.9884
10.8556	-0.9902	0.9902
10.8682	-0.9919	0.9919
10.8808	-0.9934	0.9934
10.8934	-0.9948	0.9948
10.9059	-0.9960	0.9960
10.9185	-0.9970	0.9970
10.9311	-0.9979	0.9979
10.9437	-0.9987	0.9987
10.9563	-0.9992	0.9992
